num_sides_polygon,spacing(mm),diameter(mm),force_mag(N),nonlinearity,memory
6,100,400,0.05,0.424989229,0.10131834
6,100,400,0.0435,0.399048711,0.101212419
6,100,400,0.03756574,0.376219059,0.101344303
6,100,400,0.033,0.344854657,0.100281905
6,100,400,0.028935185,0.33319579,0.100396256
6,100,400,0.026,0.31579382,0.1002741
6,100,400,0.022758307,0.313193884,0.100315806
6,100,400,0.018221574,0.290915013,0.100168459
6,100,400,0.014814815,0.273882694,0.100050495
6,100,400,0.012207031,0.249337135,0.10008192
6,100,400,0.010177081,0.209376485,0.100107437
6,100,400,0.008573388,0.198433806,0.100090879
6,100,400,0.007289692,0.168245878,0.100135353
6,100,400,0.00625,0.155436643,0.100143327
6,110,440,0.05,0.422872903,0.10190553
6,110,440,0.0435,0.420339964,0.102133338
6,110,440,0.03756574,0.395336297,0.101410211
6,110,440,0.033,0.370312303,0.101459245
6,110,440,0.028935185,0.337060028,0.100635082
6,110,440,0.026,0.324073878,0.100455675
6,110,440,0.022758307,0.312016726,0.10030896
6,110,440,0.018221574,0.299764918,0.100283519
6,110,440,0.014814815,0.287474322,0.100348424
6,110,440,0.012207031,0.25010302,0.100140323
6,110,440,0.010177081,0.223477451,0.100119574
6,110,440,0.008573388,0.187660845,0.100144459
6,110,440,0.007289692,0.170125502,0.100149041
6,110,440,0.00625,0.158003439,0.100169287
6,120,480,0.05,0.430656939,0.102801239
6,120,480,0.0435,0.412855674,0.102510596
6,120,480,0.03756574,0.394106768,0.101797518
6,120,480,0.033,0.375364654,0.101658181
6,120,480,0.028935185,0.357068502,0.101049662
6,120,480,0.026,0.341898034,0.100747217
6,120,480,0.022758307,0.32391779,0.100776877
6,120,480,0.018221574,0.305580794,0.100229997
6,120,480,0.014814815,0.298159486,0.100116638
6,120,480,0.012207031,0.263253296,0.10021669
6,120,480,0.010177081,0.248256984,0.100196393
6,120,480,0.008573388,0.229785701,0.100134222
6,120,480,0.007289692,0.196145228,0.100208811
6,120,480,0.00625,0.178893561,0.100190158
6,130,520,0.05,0.413673738,0.1478587
6,130,520,0.0435,0.416352105,0.155740937
6,130,520,0.03756574,0.374219452,0.156104908
6,130,520,0.033,0.360725669,0.154863498
6,130,520,0.028935185,0.358434232,0.150821803
6,130,520,0.026,0.338592619,0.145851801
6,130,520,0.022758307,0.318142261,0.133250713
6,130,520,0.018221574,0.307898789,0.131772186
6,130,520,0.014814815,0.299484705,0.131277018
6,130,520,0.012207031,0.296687777,0.13417425
6,130,520,0.010177081,0.260989999,0.133354109
6,130,520,0.008573388,0.250896059,0.133474916
6,130,520,0.007289692,0.238196544,0.134464361
