spacing(mm),length(mm),force_mag(N),nonlinearity,memory
20.0,100.0,6.25,0.5208845759110882,0.14210247015111274
20.0,100.0,5.0,0.4482109099516811,0.11333674230529033
20.0,100.0,3.75,0.6876946487003341,0.17615655105013192
30.0,150.0,3.75,0.5856738642167244,0.17194482359087057
20.0,100.0,2.5,0.7861685265464461,0.18494167959155947
30.0,150.0,2.5,0.49117983211884564,0.14194008716368645
20.0,100.0,1.8518518518518519,0.6933317828996846,0.177513249458953
20.0,100.0,1.25,0.6378092761500903,0.17535267262097018
30.0,150.0,1.25,0.8570559206605133,0.24082722594175832
20.0,100.0,0.78125,0.6204262811424885,0.1643831718070627
20.0,100.0,0.4,0.6060056159548436,0.1492343267658349
20.0,100.0,0.23148148148148148,0.35761263692999495,0.13845407378114724
20.0,100.0,0.1457725947521866,0.5168618979023539,0.1301629716913508
20.0,100.0,0.09765625,0.5124596528449337,0.12788437409595735
20.0,100.0,0.06858710562414266,0.46457771774434314,0.11014373840702103
20.0,100.0,0.05,0.45360872217586534,0.10934973084355774
20.0,100.0,0.037565740045078885,0.4886287277596309,0.10597607267301312
20.0,100.0,0.028935185185185185,0.5174504300140563,0.10998109078302769
20.0,100.0,0.02275830678197542,0.49404486433171096,0.11041899884635707
20.0,100.0,0.018221574344023325,0.5312020335724092,0.10609798394386898
20.0,100.0,0.014814814814814815,0.5020508454441136,0.10758491383906428
30.0,150.0,1.8518518518518519,0.798562819511359,0.20717143406687225
30.0,150.0,0.78125,0.7539951385951319,0.2367774374491044
30.0,150.0,0.4,0.6637776999156493,0.22924406317650092
30.0,150.0,0.23148148148148148,0.5971105476054125,0.2140600457291237
30.0,150.0,0.1457725947521866,0.5546523409294772,0.20618947927364392
30.0,150.0,0.09765625,0.5830976489738087,0.20070890429403615
30.0,150.0,0.06858710562414266,0.6219354371822421,0.19890104759788688
30.0,150.0,0.05,0.5516347740437817,0.1961856947132372
30.0,150.0,0.037565740045078885,0.6073053211317545,0.1950725752931275
30.0,150.0,0.028935185185185185,0.6287558912278353,0.19361425874192853
30.0,150.0,0.02275830678197542,0.601441776325741,0.19425455636382108
30.0,150.0,0.018221574344023325,0.5224065673083875,0.1934702549224047
30.0,150.0,0.014814814814814815,0.47117283699619594,0.19286553683862354
40.0,200.0,0.78125,0.8971131777368733,0.22537556811537485
40.0,200.0,0.4,0.7385523787837968,0.224903710971684
40.0,200.0,0.23148148148148148,0.682620705124818,0.2202772982723445
40.0,200.0,0.1457725947521866,0.6521290788512012,0.20982327634294576
40.0,200.0,0.09765625,0.6450817940379319,0.20726193845797727
40.0,200.0,0.06858710562414266,0.6726724512523342,0.2014878951439419
40.0,200.0,0.05,0.5859325413546751,0.19629182737109413
40.0,200.0,0.037565740045078885,0.5363177346741027,0.18665840518850343
40.0,200.0,0.028935185185185185,0.5645942108343551,0.1793346909096314
40.0,200.0,0.02275830678197542,0.5296858916635783,0.17294072218587475
40.0,200.0,0.018221574344023325,0.502787317267299,0.1665317641151013
40.0,200.0,0.014814814814814815,0.43523678992451637,0.15842495516550492
50.0,250.0,0.4,0.8666827189638863,0.29445557523322113
50.0,250.0,0.23148148148148148,0.7534783776125029,0.29287552679164897
50.0,250.0,0.1457725947521866,0.6956205769436588,0.2848639643043147
50.0,250.0,0.09765625,0.7127913456804447,0.28019991416826484
50.0,250.0,0.06858710562414266,0.6826778233344195,0.2720097619279392
50.0,250.0,0.05,0.6711830628528647,0.2681390299896355
50.0,250.0,0.037565740045078885,0.6844326114285542,0.2620171980782603
50.0,250.0,0.028935185185185185,0.6790316956133595,0.25568192052334876
