spacing(mm),length(mm),force_mag(N),nonlinearity,memory
40.0,200.0,0.78125,0.8862531430121852,0.16109503707063763
40.0,200.0,0.4,0.7430924525129065,0.1617788913496135
40.0,200.0,0.23148148148148148,0.6412728663555664,0.15005719688916838
40.0,200.0,0.1457725947521866,0.5979020423831257,0.13264326957443
40.0,200.0,0.09765625,0.6455489967410335,0.12654607851378133
40.0,200.0,0.06858710562414266,0.6837074050493828,0.1232646218154198
40.0,200.0,0.05,0.5977383174885238,0.11275267822360964
40.0,200.0,0.037565740045078885,0.6010013362139774,0.10918516754573727
40.0,200.0,0.028935185185185185,0.600486442728538,0.10934199351235326
40.0,200.0,0.02275830678197542,0.6286350474839586,0.10699653090421422
40.0,200.0,0.018221574344023325,0.6434569028282189,0.11382637333432198
40.0,200.0,0.014814814814814815,0.613711388581843,0.10328002213236587
50.0,250.0,0.4,0.8666827189638864,0.29444165752645607
50.0,250.0,0.23148148148148148,0.7534783776125029,0.29285003693152045
50.0,250.0,0.1457725947521866,0.695620576943659,0.2848293253397193
50.0,250.0,0.09765625,0.7127913456804452,0.2801664490374412
50.0,250.0,0.06858710562414266,0.6826778233344195,0.2719696474586687
50.0,250.0,0.05,0.6711830628528646,0.2681034900063007
50.0,250.0,0.037565740045078885,0.6844326114285545,0.26198628809206886
50.0,250.0,0.028935185185185185,0.6790316956133594,0.2556446363849578
50.0,250.0,0.02275830678197542,0.6440311018440982,0.24338680400357157
50.0,250.0,0.018221574344023325,0.6431094639030136,0.2344770941484662
50.0,250.0,0.014814814814814815,0.5536424227027453,0.2315344388120303
60.0,300.0,0.23148148148148148,0.824266540126762,0.1706620011062989
60.0,300.0,0.1457725947521866,0.720181598235268,0.16446576925859216
60.0,300.0,0.09765625,0.7232063358894167,0.15040494825635284
60.0,300.0,0.06858710562414266,0.7170155523673197,0.13034264333997478
60.0,300.0,0.05,0.6145322872439865,0.11989227763552342
60.0,300.0,0.037565740045078885,0.6586055640304551,0.11324388280483424
60.0,300.0,0.028935185185185185,0.7045474342649002,0.1124437710254784
60.0,300.0,0.02275830678197542,0.672637413323942,0.11141796022145718
60.0,300.0,0.018221574344023325,0.6141892900112611,0.10979146498123166
60.0,300.0,0.014814814814814815,0.58311131474681,0.10655006664184194
70.0,350.0,0.1457725947521866,0.7862951282104956,0.34237634872530626
70.0,350.0,0.09765625,0.7249591124537053,0.3369357210735218
70.0,350.0,0.06858710562414266,0.7413330432342433,0.32986015990090817
70.0,350.0,0.05,0.732788060917745,0.3168389633053346
70.0,350.0,0.037565740045078885,0.6731440193328323,0.2926550943848669
70.0,350.0,0.028935185185185185,0.6669205202830862,0.2732041532703907
70.0,350.0,0.02275830678197542,0.720948195030371,0.25674437220111257
70.0,350.0,0.018221574344023325,0.6695369203831969,0.23723006541039002
70.0,350.0,0.014814814814814815,0.625326756207539,0.21539912182371226
80.0,400.0,0.09765625,0.7921571683488707,0.17204976511579617
80.0,400.0,0.06858710562414266,0.7357293039812557,0.15201843823276623
80.0,400.0,0.05,0.7331615353718419,0.14180145931259736
80.0,400.0,0.037565740045078885,0.7451773224183358,0.13105075765012317
80.0,400.0,0.028935185185185185,0.718832249466405,0.12984710588808981
80.0,400.0,0.02275830678197542,0.7277693302457495,0.11878380744104607
80.0,400.0,0.018221574344023325,0.7049869465141968,0.11947120244100108
80.0,400.0,0.014814814814814815,0.6662384434566813,0.1184949689225032
90.0,450.0,0.06858710562414266,0.7680149270173414,0.2781621947567357
90.0,450.0,0.05,0.7341354911919323,0.27238651668821123
90.0,450.0,0.037565740045078885,0.7409219879037473,0.2550651273573011
90.0,450.0,0.028935185185185185,0.7407698565866713,0.24570993189881274
90.0,450.0,0.02275830678197542,0.716053500987081,0.23993866508543374
90.0,450.0,0.018221574344023325,0.7008505282044218,0.22930408649465606
90.0,450.0,0.014814814814814815,0.6953645961708929,0.22418716988492218
100.0,500.0,0.05,0.742296017522149,0.14608439041192894
100.0,500.0,0.037565740045078885,0.732159472852959,0.13394934341692052
100.0,500.0,0.028935185185185185,0.7245899835351598,0.13150467921521797
100.0,500.0,0.02275830678197542,0.7282162860326331,0.12477697991262304
100.0,500.0,0.018221574344023325,0.7010277773167836,0.1224274802562543
100.0,500.0,0.014814814814814815,0.679190739325968,0.12263172700143636
110.0,550.0,0.037565740045078885,0.7232837816652006,0.24232132118021768
110.0,550.0,0.028935185185185185,0.7317195650839677,0.2387484017539306
110.0,550.0,0.02275830678197542,0.7049550841300202,0.2335629252718642
110.0,550.0,0.018221574344023325,0.696564481702165,0.2320615870297426
110.0,550.0,0.014814814814814815,0.6457850755106069,0.23225404631091093
120.0,600.0,0.028935185185185185,0.7297359878030193,0.1552717244295986
120.0,600.0,0.02275830678197542,0.7136832725775855,0.14408007262523712
120.0,600.0,0.018221574344023325,0.6581350167973501,0.1353506105701197
120.0,600.0,0.014814814814814815,0.6452998413169283,0.1426928046527576
130.0,650.0,0.02275830678197542,0.7089039160646335,0.2386878759677286
130.0,650.0,0.018221574344023325,0.6681294286921667,0.23862819333769558
130.0,650.0,0.014814814814814815,0.6321154527581102,0.24549744180066166
140.0,700.0,0.018221574344023325,0.6785940093240942,0.1627573314830304
140.0,700.0,0.014814814814814815,0.6513723890029479,0.17254401243567485
150.0,750.0,0.014814814814814815,0.6330304858795108,0.2478106167296413
