num_threads,spacing(mm),length(mm),force_mag(N),nonlinearity,memory
2,20.0,60.0,2.5,,
2,30.0,90.0,1.25,0.6627149123485726,0.17236295720252348
2,40.0,120.0,0.78125,,
2,50.0,150.00000000000003,0.4,,
2,60.0,180.0,0.2314814814814814,,
2,70.0,210.00000000000003,0.1457725947521866,0.6005959599856805,0.11606621567990699
2,80.0,240.0,0.1457725947521866,0.6651074490463283,0.1165568445493046
2,90.0,270.0,0.09765625,0.6177448185871143,0.11770894315898468
2,100.0,300.00000000000006,0.09765625,0.6655259668813212,0.11818134841918006
2,110.0,330.0,0.0685871056241426,0.6280167877266273,0.11901023339485689
2,120.0,360.0,0.0685871056241426,0.661575132202839,0.12055247224468461
2,130.0,390.0,0.05,0.6256547471176237,0.12113272589385178
2,140.0,420.00000000000006,0.0375657400450788,0.5830362015844444,0.12279915856395747
2,150.0,449.99999999999994,0.05,0.6141737177366158,0.12253228680120733
4,20.0,100.0,2.5,0.6925697970739038,0.15776546136981595
4,30.0,150.0,1.25,0.7207695459275503,0.20803846134949577
4,40.0,200.0,0.78125,0.7863771738440613,0.17884388895377698
4,50.0,250.0,0.4,0.7665076786940168,0.23553947625868182
4,60.0,300.0,0.2314814814814814,0.7179199265287904,0.2897744065241626
4,70.0,350.00000000000006,0.1457725947521866,0.6961093616898204,0.33080044599047675
4,80.0,400.0,0.1457725947521866,0.7250643399363257,0.35763377478368047
4,90.0,449.99999999999994,0.09765625,0.7358928095490067,0.3374638638749656
4,100.0,500.0,0.09765625,0.7372814296674391,0.28752739814748146
4,110.0,550.0,0.0685871056241426,0.7298682498445329,0.23511596425012346
4,120.0,600.0,0.0685871056241426,0.7584205807512887,0.146437847966206
4,130.0,650.0,0.05,0.7312650115464631,0.21737422601684475
4,140.0,700.0000000000001,0.0375657400450788,0.6998832156114502,0.20549778830872562
4,150.0,750.0,0.05,0.7063508408462018,0.20229912119704804
6,20.0,140.0,2.5,0.7180725718940963,0.1759088204043675
6,30.0,210.0,1.25,0.7717329835106566,0.26447177695412105
6,40.0,280.0,0.78125,0.8250189752205532,0.29093964603398975
6,50.0,350.00000000000006,0.4,0.7897123114555002,0.3781949602893055
6,60.0,420.0,0.2314814814814814,0.7919675084130601,0.42821777751450874
6,70.0,490.00000000000006,0.1457725947521866,0.7711527672297486,0.4123476014120683
6,80.0,560.0,0.1457725947521866,0.768748130647372,0.1826391780004134
6,90.0,630.0,0.09765625,0.7398100290292429,0.3354444790658392
6,100.0,700.0000000000001,0.09765625,0.7680782699172886,0.3505027734569305
6,110.0,770.0,0.0685871056241426,0.7376582386307305,0.2670834230318029
6,120.0,840.0,0.0685871056241426,0.7671471538896733,0.19091686582184447
6,130.0,910.0,0.05,0.7331348892166568,0.23958491339155527
6,140.0,980.0000000000001,0.0375657400450788,0.704340761095507,0.26096121038229037
6,150.0,1050.0,0.05,0.7005526961602682,0.24560510330248303
8,20.0,180.0,2.5,0.7948744273468425,0.18528154937889815
8,30.0,270.0,1.25,0.8159763304652845,0.32769378148681766
8,40.0,360.0,0.78125,0.8124839641992075,0.4682185782336754
8,50.0,450.0,0.4,0.8178609266149032,0.5957232186874518
8,60.0,540.0,0.2314814814814814,0.8251214138841176,0.6126696205103945
8,70.0,630.0000000000001,0.1457725947521866,0.7716776980023274,0.5579010636998015
8,80.0,720.0,0.1457725947521866,0.8319363595055158,0.210268479570568
8,90.0,809.9999999999999,0.09765625,0.7653100703122981,0.3681282463198365
8,100.0,900.0,0.09765625,0.7987383619426126,0.4539373708808436
8,110.0,990.0,0.0685871056241426,0.7411907470117702,0.2917915701823168
8,120.0,1080.0,0.0685871056241426,0.7698331079687297,0.22734311313239863
8,130.0,1170.0,0.05,0.7341588660211747,0.25975419238055547
8,140.0,1260.0000000000002,0.0375657400450788,0.7246854712398926,0.2882524451554444
8,150.0,1349.9999999999998,0.05,0.7090943646576234,0.2604971851046648
10,20.0,220.0,2.5,0.8214690177358,0.17964564099114952
10,30.0,329.99999999999994,1.25,0.8550561683245947,0.367563285049675
10,40.0,440.0,0.78125,0.7481974974981342,0.4948350671182361
10,50.0,550.0,0.4,0.7462961390132518,0.6698671068802813
10,60.0,659.9999999999999,0.2314814814814814,0.8235421126522494,0.6606769074044619
10,70.0,770.0,0.1457725947521866,0.7822786345192743,0.5708882570521976
10,80.0,880.0,0.1457725947521866,0.8118698683383805,0.22718155982554755
10,90.0,990.0,0.09765625,0.790489648013622,0.43178977711736327
10,100.0,1100.0,0.09765625,0.7903727219446038,0.5088065860044094
10,110.0,1210.0,0.0685871056241426,0.7560542174012078,0.31498073401961374
10,120.0,1319.9999999999998,0.0685871056241426,0.7741213863241347,0.23531008037691845
10,130.0,1430.0000000000002,0.05,0.7212915656038765,0.28893646559228114
10,140.0,1540.0,0.0375657400450788,0.7292376661466743,0.28775014424721246
10,150.0,1650.0,0.05,0.6896390346565118,0.2742747538726675
12,20.0,260.0,2.5,0.8618933238718463,0.2015526594885374
12,30.0,390.0,1.25,0.8787526114095016,0.40866674153248617
12,40.0,520.0,0.78125,0.813857584439333,0.22093468810155786
12,50.0,650.0,0.4,0.7221334857146056,0.6943904488730903
12,60.0,780.0,0.2314814814814814,0.8407949473522915,0.6911303904503483
12,70.0,910.0000000000001,0.1457725947521866,0.8091687996726472,0.572918975787693
12,80.0,1040.0,0.1457725947521866,0.840477503430858,0.2632594792166804
12,90.0,1170.0,0.09765625,0.7829380477233768,0.4590077449051651
