num_threads,spacing(mm),length(mm),force_mag(N),nonlinearity train,memory train,nonlinearity test,memory test
2,20.0,60.0,3.75,,,,
2,30.0,90.0,1.25,0.7270275402070732,0.2037794451234925,0.662904169020801,0.17241101922427665
2,40.0,120.0,0.78125,,,,
2,50.0,150.00000000000003,0.4,,,,
2,60.0,180.0,0.2314814814814814,,,,
2,70.0,210.00000000000003,0.2314814814814814,0.7827856624463811,0.14789381365846652,0.7182898539459655,0.11509064993314702
2,80.0,240.0,0.1457725947521866,0.7158674705565996,0.15492745787302217,0.6648946327664896,0.11658350771994332
2,90.0,270.0,0.1457725947521866,0.7788363747619995,0.16160920770931655,0.7123095020670329,0.11738338956957078
2,100.0,300.00000000000006,0.09765625,0.7192607981403442,0.16476676453363884,0.6656142313945763,0.11838904537252218
2,110.0,330.0,0.09765625,0.7550071716615723,0.16678735146148563,0.6852438810045138,0.12063064571366272
2,120.0,360.0,0.0685871056241426,0.7092242500116349,0.1699531828753212,0.661425388840398,0.12051085748077117
2,130.0,390.0,0.05,0.6767084659289715,0.1727951702927656,0.6256879142801963,0.12117182705838131
2,140.0,420.00000000000006,0.05,0.6827184789726373,0.1697430128857827,0.6210642917025181,0.12357921164800284
2,150.0,449.99999999999994,0.0375657400450788,0.6571377518499284,0.17476126434698408,0.5979960951702423,0.12473176752448106
4,20.0,100.0,3.75,0.7892355853436588,0.16304211731988447,0.6528994388616305,0.13081573474054992
4,30.0,150.0,1.25,0.8091611470344301,0.24648139699566565,0.7213671020953528,0.20826723187538998
4,40.0,200.0,0.78125,0.8577142899610826,0.2103282397204983,0.7869430673239901,0.1790357532222082
4,50.0,250.0,0.4,0.8162547495641832,0.2789192662125463,0.7673077763684335,0.23563665312273363
4,60.0,300.0,0.2314814814814814,0.7561432895502747,0.33501499151064296,0.71447369331555,0.28968512792740075
4,70.0,350.00000000000006,0.2314814814814814,0.8305024838791617,0.37629576709792983,0.7302696234160273,0.3373282563943132
4,80.0,400.0,0.1457725947521866,0.7900573514365792,0.4066948562419921,0.7241628221205021,0.35864103776626644
4,90.0,449.99999999999994,0.1457725947521866,0.8230034113263839,0.3870159225722841,0.7315766757115018,0.31626468310232847
4,100.0,500.0,0.09765625,0.8045432307427733,0.39106616487224216,0.7371095030884809,0.2880940498898166
4,110.0,550.0,0.09765625,0.8214988015602429,0.2904547069096535,0.7447960049873197,0.219252344412001
4,120.0,600.0,0.0685871056241426,0.8063171083291181,0.21008269756681175,0.7577376314982038,0.1462517840499702
4,130.0,650.0,0.05,0.7699381244552893,0.2767658360978314,0.7318787318545106,0.2170471298069203
4,140.0,700.0000000000001,0.05,0.79144982030893,0.26897259030565995,0.74094879175444,0.20562682431185303
4,150.0,750.0,0.0375657400450788,0.7522640053506577,0.2745204992829241,0.6892132951746235,0.21096707615043891
6,20.0,140.0,3.75,0.815051758883248,0.1970907936829891,0.6768757265357046,0.1534565043521503
6,30.0,210.0,1.25,0.8440022021002423,0.30711285024579454,0.7703778329056895,0.26407419486137446
6,40.0,280.0,0.78125,0.8996437971060617,0.337695647228121,0.8258171959671271,0.29166033977177575
6,50.0,350.00000000000006,0.4,0.8697958040807338,0.4268320674582494,0.7909302853689966,0.37882324440333626
6,60.0,420.0,0.2314814814814814,0.8572246395263295,0.4777087142330722,0.7889856338725411,0.4276642691259849
6,70.0,490.00000000000006,0.2314814814814814,0.9037180115708681,0.49119052982345673,0.8281382121733742,0.41931810377981815
6,80.0,560.0,0.1457725947521866,0.851408054322554,0.28080439683551245,0.7699730160666718,0.1829072445058119
6,90.0,630.0,0.1457725947521866,0.8786995572537203,0.4293027790713716,0.7796831918967703,0.31461809962891385
6,100.0,700.0000000000001,0.09765625,0.8466063379038861,0.4797290943040833,0.7679883970224342,0.3508585126474311
6,110.0,770.0,0.09765625,0.861115484185555,0.3721090502181341,0.7773474093819928,0.2679987711492801
6,120.0,840.0,0.0685871056241426,0.8449996809857447,0.2807535067014189,0.7664602786175058,0.19095470589455607
6,130.0,910.0,0.05,0.8094425958587532,0.3377199482496078,0.7335621096868403,0.24090960296349298
6,140.0,980.0000000000001,0.05,0.8162963983345181,0.3562022978305075,0.7281809179221677,0.2695786300543997
6,150.0,1050.0,0.0375657400450788,0.775367342874749,0.3429524341336205,0.6776160537610944,0.24642149203976846
8,20.0,180.0,3.75,0.8781577710378263,0.2410623740165995,0.7236124015349603,0.18122825450096178
8,30.0,270.0,1.25,0.8835171277408366,0.3797539057542254,0.8151238726581159,0.32725808818766716
8,40.0,360.0,0.78125,0.8900336128230253,0.5280576205606516,0.8109698788385457,0.47024946005474416
8,50.0,450.0,0.4,0.9016624442528907,0.6786838400312597,0.8192674481771374,0.5969680556152617
8,60.0,540.0,0.2314814814814814,0.900085844099714,0.6894132407328558,0.8250090854626487,0.6136376440417836
8,70.0,630.0000000000001,0.2314814814814814,0.913228493669869,0.6799472251453933,0.8263111868110984,0.5957373177688298
8,80.0,720.0,0.1457725947521866,0.8965764725240275,0.3121653124748412,0.833927135465891,0.20899540002063038
8,90.0,809.9999999999999,0.1457725947521866,0.9077334420903425,0.48247282915105466,0.814981807407448,0.37105649829823667
8,100.0,900.0,0.09765625,0.8812213450460353,0.5609762166942687,0.7978428969828638,0.4555281195596972
8,110.0,990.0,0.09765625,0.8845649149530097,0.4102717299073297,0.8067884096821555,0.28591064792994847
8,120.0,1080.0,0.0685871056241426,0.8508361234317583,0.33855868081635376,0.7655642787560478,0.22735623901637486
8,130.0,1170.0,0.05,0.8100693296825682,0.37733372896613687,0.734271357856828,0.25876794709405754
8,140.0,1260.0000000000002,0.05,0.8117564151686327,0.3977927414286871,0.7169268860240079,0.2873039114845688
8,150.0,1349.9999999999998,0.0375657400450788,0.7773382506735445,0.38773750028322357,0.6838313651390081,0.2764912519108937
10,20.0,220.0,3.75,0.8858710323517883,0.2769274688015201,0.7236821761544949,0.18085854050993705
10,30.0,329.99999999999994,1.25,0.9213818223824696,0.43028183987671986,0.8550981325814254,0.36866114502726816
10,40.0,440.0,0.78125,0.849076131451634,0.6182199241367576,0.7479017043404056,0.49493997010200813
10,50.0,550.0,0.4,0.8558811392696997,0.7502373278808598,0.7419528966723636,0.6714084875833258
10,60.0,659.9999999999999,0.2314814814814814,0.9054823764785424,0.7333863831697373,0.825517809261601,0.6582080253023815
10,70.0,770.0,0.2314814814814814,0.8932180662710101,0.7185866979295772,0.7816127406460613,0.6119344575945923
10,80.0,880.0,0.1457725947521866,0.8818719665289713,0.35020773359874185,0.8111367887563586,0.22812605888807896
10,90.0,990.0,0.1457725947521866,0.8952478952961208,0.5290016932991022,0.820352286783986,0.4218748764947261
10,100.0,1100.0,0.09765625,0.8584627711732367,0.6211640166434012,0.7909394653229846,0.5067679832840873
10,110.0,1210.0,0.09765625,0.8725652485513221,0.44175185998491895,0.7891960898910209,0.2786066654414201
10,120.0,1319.9999999999998,0.0685871056241426,0.8349726822656199,0.386710537139942,0.7739432742559667,0.2332653144142756
10,130.0,1430.0000000000002,0.05,0.8009445957735917,0.4276290524923317,0.7203189202171626,0.2859203290271062
10,140.0,1540.0,0.05,0.8014359664601528,0.4339234596350735,0.7046861962475168,0.2990353463581887
10,150.0,1650.0,0.0375657400450788,0.7734728134003198,0.41551143971320775,0.6691673577284386,0.27297564273794067
12,20.0,260.0,3.75,0.9409850802270263,0.3122564354303709,0.7945779074089037,0.17281695456169216
12,30.0,390.0,1.25,0.949550648791314,0.5046794088885307,0.8804200786301791,0.40632270827550104
12,40.0,520.0,0.78125,0.9345907991064781,0.4457364496613994,0.8144603109524615,0.22071288131606104
12,50.0,650.0,0.4,0.8660661439732851,0.7825171498605782,0.7251897413078029,0.6970765244084858
12,60.0,780.0,0.2314814814814814,0.9433516615838048,0.7596752494762519,0.8463579749124438,0.6925904174073275
12,70.0,910.0000000000001,0.2314814814814814,0.9058447766758823,0.7342219987925677,0.7862357547634267,0.6268065729108471
12,80.0,1040.0,0.1457725947521866,0.9155855149175156,0.37552609003909776,0.8409959679602714,0.2625456259140128
12,90.0,1170.0,0.1457725947521866,0.9004565006688132,0.5575717701166153,0.8182141027180754,0.40485451816012435
12,100.0,1300.0,0.09765625,0.8676389212241382,0.635942732657489,0.795441859655491,0.5209997848072929
12,110.0,1430.0,0.09765625,0.8716080344907537,0.4529800382376915,0.7816419608384277,0.30068705964642206
12,120.0,1560.0,0.0685871056241426,0.8383065068333788,0.382313015493987,0.7633405154920989,0.26436928336598886
12,130.0,1690.0,0.05,0.8038904581318513,0.4259559105955242,0.7112307804905058,0.29579399572582854
12,140.0,1820.0000000000002,0.05,0.8013120724799225,0.43559152375033733,0.6977542866281607,0.30388924128326855
12,150.0,1950.0,0.0375657400450788,0.7787019648028626,0.4362121205061676,0.6505884812559728,0.30196562895853685
